"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,090741,CME ,00,090 ,  113862,    2447,   29017,     396,   50172,   21123,    3277,   14297,   39356,    1171,   10841,       0,       0,   82601,   94340,   31261,   19522,   -3702,    -557,   -5387,     116,   -2887,    1040,      24,   -1281,   -1708,     101,     408,    -430,       0,   -4076,   -6244,     374,    2542,  100.0,    2.1,   25.5,    0.3,   44.1,   18.6,    2.9,   12.6,   34.6,    1.0,    9.5,    0.0,    0.0,   72.5,   82.9,   27.5,   17.1,     96,      4,      9,.,     21,     14,      7,     14,     23,      6,     11,      0,      0,     59,     52,    28.8,    31.5,    38.5,    43.4,    27.4,    31.2,    36.0,    43.1,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"SWISS FRANC - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,092741,CME ,00,092 ,   47666,    2051,   22297,      28,    8486,    6484,     804,   18327,    5467,     424,       0,     483,       0,   30120,   35987,   17546,   11679,   -4209,    1048,   -4485,      18,   -2828,     237,     363,   -1701,     658,     276,       0,       0,       0,   -2824,   -2933,   -1385,   -1276,  100.0,    4.3,   46.8,    0.1,   17.8,   13.6,    1.7,   38.4,   11.5,    0.9,    0.0,    1.0,    0.0,   63.2,   75.5,   36.8,   24.5,     45,.,      5,.,     10,      8,      5,     10,     10,      5,      0,.,      0,     28,     29,    33.8,    49.7,    45.3,    58.2,    33.7,    49.7,    45.2,    58.2,"(CONTRACTS OF CHF 125,000)","092741","CME ","092 ","F10","FutOnly"
"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,096742,CME ,00,096 ,  159049,   42201,   13988,      91,   40849,   74798,    4386,   37936,   30618,    5525,    2600,    6403,       0,  133588,  135809,   25461,   23240,    6436,   16352,   -2749,    -390,   -4190,    6796,   -1257,   -3201,    5508,     530,       0,       4,       0,    7844,    8442,   -1408,   -2006,  100.0,   26.5,    8.8,    0.1,   25.7,   47.0,    2.8,   23.9,   19.3,    3.5,    1.6,    4.0,    0.0,   84.0,   85.4,   16.0,   14.6,    103,      7,      6,.,     13,     26,     10,     23,     22,     14,.,      4,      0,     59,     70,    38.8,    21.5,    53.3,    33.5,    38.6,    21.4,    53.1,    33.4,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","FutOnly"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,097741,CME ,00,097 ,  158298,    4402,   86868,     255,   87933,   15141,    7213,   26702,   27971,    1047,     926,    1264,       0,  128478,  139759,   29820,   18539,  -10953,     408,   -5861,      -6,   -1663,    1650,    -396,   -4965,   -6170,   -1177,    -679,     700,       0,   -8478,  -11260,   -2475,     307,  100.0,    2.8,   54.9,    0.2,   55.5,    9.6,    4.6,   16.9,   17.7,    0.7,    0.6,    0.8,    0.0,   81.2,   88.3,   18.8,   11.7,    113,      4,      8,.,     34,     16,     14,     27,     19,      7,.,.,      0,     77,     59,    27.2,    52.3,    41.6,    62.8,    26.0,    52.1,    40.3,    62.7,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","FutOnly"
"EURO FX - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,099741,CME ,00,099 ,  655912,   29604,  443074,    3198,  376743,   89581,   17687,   77163,   48037,    5695,   55993,    6331,    1998,  568081,  615601,   87831,   40311,  -10500,    1438,   -5323,     138,  -13792,    -259,     474,    2182,   -3939,     432,     -10,   -1732,     -21,   -9159,  -10230,   -1341,    -270,  100.0,    4.5,   67.6,    0.5,   57.4,   13.7,    2.7,   11.8,    7.3,    0.9,    8.5,    1.0,    0.3,   86.6,   93.9,   13.4,    6.1,    297,     12,     12,      9,    109,     32,     40,     54,     28,     23,     37,     13,.,    235,    137,    15.3,    66.9,    25.4,    75.8,    14.9,    66.5,    24.8,    75.4,"(CONTRACTS OF EUR 125,000)","099741","CME ","099 ","F10","FutOnly"
"AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,232741,CME ,00,232 ,  128448,    6670,   44413,     106,   48959,   46550,    2753,   42051,   13385,    1462,    1626,      30,       0,  103627,  108699,   24821,   19749,   -4766,    2190,   -4428,       1,   -1999,    1542,   -1047,   -2952,     381,      31,     400,     -25,       0,   -3376,   -3545,   -1390,   -1221,  100.0,    5.2,   34.6,    0.1,   38.1,   36.2,    2.1,   32.7,   10.4,    1.1,    1.3,    0.0,    0.0,   80.7,   84.6,   19.3,   15.4,     77,      4,      6,.,     21,     11,      8,     18,     14,     11,.,.,      0,     55,     43,    39.2,    60.9,    47.6,    69.1,    39.2,    60.6,    47.6,    68.8,"(CONTRACTS OF AUD 100,000)","232741","CME ","232 ","F10","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,089741,CME ,00,089 ,   21138,    1500,    7796,      74,    8125,    8063,       5,    9161,    2416,     102,     902,     742,       0,   19869,   19198,    1269,    1940,    2822,     196,       0,       5,    -302,    2392,       0,    2823,     556,       0,       0,      57,       0,    2722,    3010,     100,    -188,  100.0,    7.1,   36.9,    0.3,   38.4,   38.1,    0.0,   43.3,   11.4,    0.5,    4.3,    3.5,    0.0,   94.0,   90.8,    6.0,    9.2,     45,.,.,.,      6,      5,.,     11,     11,.,.,      5,      0,     22,     27,    49.3,    71.0,    72.3,    78.2,    49.3,    71.0,    72.3,    78.2,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,095741,CME ,00,095 ,  121918,    6587,   59385,     627,   69527,    4926,     912,   35046,   33596,     413,    3471,   18583,       0,  116583,  118442,    5335,    3476,  -14800,    4050,  -10575,      70,   -7023,    1546,     276,   -9750,   -4953,    -728,    -933,    -645,     -73,  -14111,  -15082,    -689,     282,  100.0,    5.4,   48.7,    0.5,   57.0,    4.0,    0.7,   28.7,   27.6,    0.3,    2.8,   15.2,    0.0,   95.6,   97.1,    4.4,    2.9,    120,.,      6,.,     17,     11,      4,     36,     30,      4,      7,     11,      0,     67,     63,    50.6,    55.7,    66.0,    70.0,    50.6,    55.7,    66.0,    70.0,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,102741,CME ,00,102 ,   43870,   20139,     169,    2151,    3943,   26571,     369,    9242,    5400,    3006,    2636,    3090,       0,   41486,   40756,    2384,    3114,    8889,     128,     -11,    2071,   -1348,    1955,     369,    4767,     680,    2786,      54,    1005,       0,    8827,    8855,      62,      34,  100.0,   45.9,    0.4,    4.9,    9.0,   60.6,    0.8,   21.1,   12.3,    6.9,    6.0,    7.0,    0.0,   94.6,   92.9,    5.4,    7.1,     59,.,.,.,      8,      8,.,     10,     16,.,      6,      7,      0,     27,     37,    67.3,    62.9,    79.9,    72.1,    60.4,    59.6,    71.0,    66.7,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,112741,CME ,00,112 ,   35923,    5782,    7567,       0,   11110,    9046,     898,   12152,   13508,     675,     565,    1381,       6,   31188,   33081,    4735,    2842,     707,    -305,   -1118,       0,    -700,    2139,     720,    2273,    -524,    -777,     230,     125,       0,    1441,     565,    -734,     142,  100.0,   16.1,   21.1,    0.0,   30.9,   25.2,    2.5,   33.8,   37.6,    1.9,    1.6,    3.8,    0.0,   86.8,   92.1,   13.2,    7.9,     86,      4,      5,      0,     21,      6,      5,     28,     13,      7,.,      6,.,     57,     42,    24.1,    55.2,    37.4,    74.0,    23.8,    55.2,    37.1,    74.0,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
